station,date,avg_AQI,AQI_category,PM2_5,PM10,SO2,NO2,CO,O3
Aotizhongxin,2013-03-01,84.0,Moderate,7.125,10.75,11.708333333333334,22.583333333333332,429.1666666666667,63.875
Aotizhongxin,2013-03-02,91.0,Moderate,30.75,42.083333333333336,36.625,66.66666666666667,824.9166666666666,29.75
Aotizhongxin,2013-03-03,79.0,Moderate,76.91666666666667,120.54166666666667,61.291666666666664,81.0,1620.625,19.125
Aotizhongxin,2013-03-04,108.0,Unhealthy for Sensitive Groups,22.708333333333332,44.583333333333336,22.854166666666668,46.1875,606.25,53.75
Aotizhongxin,2013-03-05,95.0,Moderate,148.875,183.79166666666666,93.875,132.83333333333334,2357.9583333333335,68.45833333333333
Aotizhongxin,2013-03-06,142.0,Unhealthy for Sensitive Groups,223.25,265.1666666666667,116.2367,142.05938333333333,3085.0833333333335,19.75
Aotizhongxin,2013-03-07,159.0,Unhealthy,263.375,316.0833333333333,97.54166666666667,147.75,3632.875,38.833333333333336
Aotizhongxin,2013-03-08,180.0,Unhealthy,221.45833333333334,297.9583333333333,69.0604,120.0927875,2689.2083333333335,79.33333333333333
Aotizhongxin,2013-03-09,131.0,Unhealthy for Sensitive Groups,62.041666666666664,227.60416666666666,33.333333333333336,45.0,1178.9583333333333,73.91666666666667
Aotizhongxin,2013-03-10,118.0,Unhealthy for Sensitive Groups,34.291666666666664,68.91666666666667,22.916666666666668,49.666666666666664,708.3333333333334,82.66666666666667
Aotizhongxin,2013-03-11,106.0,Unhealthy for Sensitive Groups,123.79166666666667,178.29166666666666,86.875,90.66666666666667,1670.75,75.25
Aotizhongxin,2013-03-12,113.0,Unhealthy for Sensitive Groups,122.79166666666667,117.16666666666667,27.5,72.875,1635.2916666666667,36.583333333333336
Aotizhongxin,2013-03-13,109.0,Unhealthy for Sensitive Groups,16.041666666666668,19.333333333333332,16.25,36.083333333333336,504.1666666666667,71.875
Aotizhongxin,2013-03-14,120.0,Unhealthy for Sensitive Groups,95.16666666666667,107.29166666666667,51.916666666666664,70.375,1337.2916666666667,68.91666666666667
Aotizhongxin,2013-03-15,119.0,Unhealthy for Sensitive Groups,212.29166666666666,250.625,75.58333333333333,99.41666666666667,2116.5,44.208333333333336
Aotizhongxin,2013-03-16,155.0,Unhealthy,244.875,257.9166666666667,70.125,90.375,2174.6875,66.66666666666667
Aotizhongxin,2013-03-17,148.0,Unhealthy for Sensitive Groups,284.5416666666667,309.6666666666667,73.66666666666667,113.875,2558.0,96.54166666666667
Aotizhongxin,2013-03-18,178.0,Unhealthy,70.66666666666667,118.04166666666667,19.625,46.166666666666664,866.5833333333334,89.04166666666667
Aotizhongxin,2013-03-19,100.0,Moderate,41.0,49.125,16.5,49.166666666666664,785.4166666666666,19.666666666666668
